
 Data Alignment: None
 Data Alignment Step: 0
C:\Users\Labuser\Documents\Octet experiments\2020\20200514 - AMC PCT media run3 kinetics 47-54, 200514_001.frd, 200514_002.frd, 200514_003.frd, 200514_004.frd, 200514_005.frd, 200514_006.frd, 200514_007.frd, 200514_008.frd, 200514_009.frd, 200514_010.frd, 200514_011.frd, 200514_012.frd, 200514_013.frd, 200514_014.frd, 200514_015.frd, 200514_016.frd, 
X Values, A2, B2, C2, D2, E2, F2, G2, H2, A3, B3, C3, D3, E3, F3, G3, H3, 
0.00, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
9.00, -0.00365985, 0.0021921, -0.00117288, 0.00155072, -0.00450885, -0.00595008, 0.00208708, -0.002425, -0.01489885, -0.00799201, -0.0028654, -0.00484928, -0.00594402, -0.00925002, -0.0000087, 0.00006833, 
9.20, -0.00159559, -0.00307121, 0.00396921, 0.00322424, -0.00124786, -0.00484415, -0.00122448, -0.00426651, -0.01205431, -0.00426759, -0.00485699, -0.0065037, -0.00452942, -0.01110795, -0.0025799, 0.00314492, 
9.40, -0.0035982, 0.00097942, 0.00221188, 0.00245831, -0.00357237, -0.00170822, -0.00220791, 0.00158113, -0.01147623, -0.0031105, -0.0079253, -0.00905074, -0.00632146, -0.00978362, -0.00545621, 0.00221077, 
9.61, -0.00395484, 0.00255855, 0.00077223, 0.00616518, -0.006851, -0.00485732, -0.00240429, -0.00618722, -0.01622969, -0.00642099, -0.00855418, -0.01190742, -0.00202977, -0.00757522, -0.00026164, 0.00041481, 
9.81, -0.00388097, -0.00170998, 0.00069099, 0.00610491, -0.00251252, -0.00577611, -0.00371377, -0.00226749, -0.01486763, -0.01115665, -0.00729089, -0.00799766, -0.00683185, -0.0029391, 0.00065344, 0.00299526, 
10.00, -0.00224182, 0.00082921, 0.0014688, 0.00569702, -0.00234842, -0.00050675, -0.00184054, 0.00048604, -0.0132337, -0.00686883, -0.00768911, -0.00525895, -0.00606401, -0.00710281, -0.00346169, 0.00138193, 
10.20, -0.00475602, -0.00425514, -0.00230492, 0.00349452, 0.00049014, -0.00730546, -0.00181478, -0.00344152, -0.01819616, -0.00727043, -0.0096038, -0.00536758, -0.00765371, -0.01094971, -0.0039325, 0.0002392, 
10.40, -0.00523251, -0.00086438, 0.00096973, 0.00685397, -0.00328591, -0.00530856, 0.00064348, -0.00447062, -0.0109995, -0.00840565, -0.00757451, -0.00486927, -0.00508128, -0.00993834, -0.0050525, -0.00040171, 
10.61, -0.00654362, 0.00003854, -0.0015133, 0.0057604, -0.00481139, -0.00370818, -0.00091171, 0.00032259, -0.01440006, -0.00447258, -0.00894039, -0.01370173, -0.00530226, -0.01263201, -0.00203742, 0.00171765, 
10.81, -0.00172353, 0.00017111, 0.00015962, 0.00583703, -0.00529652, -0.00357662, 0.0019107, -0.00252445, -0.0149563, -0.00409163, -0.00561348, -0.00741214, -0.00753391, -0.00537971, -0.00317159, -0.00527076, 
11.00, -0.00159053, -0.00027336, 0.00045506, 0.00432253, -0.00300881, -0.00680146, 0.00176037, -0.00618796, -0.01115589, -0.00781695, -0.00779342, -0.00702938, -0.00267585, -0.00760796, -0.00140744, -0.00261674, 
11.20, -0.00245725, 0.00014972, -0.00032833, 0.00558607, -0.00604374, -0.00396098, -0.00148629, -0.00498078, -0.01412106, -0.00744742, -0.00732594, -0.01173527, -0.00839945, -0.00972481, 0.00109096, -0.00069605, 
11.40, -0.00417422, 0.00443494, 0.00441988, 0.00948826, -0.00528183, -0.00374088, -0.00485021, -0.00309399, -0.01304666, -0.00566037, -0.0049535, -0.00714507, -0.00689239, -0.00781368, -0.00320677, -0.00177763, 
11.60, -0.00222801, -0.00327418, 0.00091973, 0.00578071, -0.00618035, -0.00424908, -0.00135369, -0.00367554, -0.01196286, 0.00109753, -0.00632965, -0.00898564, -0.00576273, -0.00990133, 0.00153822, -0.00044276, 
11.81, -0.00393969, -0.00250776, 0.00157963, 0.00443801, -0.00418476, -0.00230713, -0.00009468, -0.00171065, -0.01415631, -0.0049005, -0.00393008, -0.00931623, -0.00541618, -0.01024895, 0.00117047, -0.00226471, 
12.00, -0.00115622, -0.00104315, 0.00043048, 0.00479614, -0.00217567, -0.00591428, 0.00105235, -0.00170962, -0.01422789, -0.00321431, -0.00378578, -0.00438763, -0.00405602, -0.01338099, 0.002705, -0.00277407, 
12.20, -0.00289499, -0.00008936, -0.00035736, 0.00458687, -0.00329985, -0.00480388, 0.00021923, -0.00299663, -0.01251781, -0.00475193, -0.00645981, -0.00790964, -0.00595909, -0.00984536, -0.00280952, 0.00070225, 
12.40, -0.00438724, 0.00245231, 0.00045184, 0.00471672, -0.00294156, -0.00572184, -0.00257493, -0.00156101, -0.01131912, -0.00139691, -0.00916225, -0.01025074, -0.005897, -0.01041086, -0.00057602, 0.0029556, 
12.61, -0.00891349, 0.00489356, 0.00148905, 0.00477898, -0.00640604, -0.00752657, 0.00035244, -0.00045845, -0.01414308, -0.00401672, -0.00469403, -0.0070022, -0.00973785, -0.01261033, -0.00366069, -0.00151283, 
12.81, -0.00316182, 0.00288775, 0.00371729, 0.0018379, -0.00426281, -0.00523618, 0.00236312, -0.00645732, -0.0167058, -0.00388581, -0.00663346, -0.00939107, -0.00512557, -0.00839363, -0.00870383, 0.00107134, 
13.00, -0.00349639, 0.00277993, 0.00205724, 0.00776463, -0.00520224, -0.00680633, -0.00076351, -0.0052553, -0.01220516, -0.00310993, -0.01211186, -0.00855557, -0.0074913, -0.00901917, -0.00511576, -0.0002971, 
13.20, -0.00757283, 0.00146233, 0.0010227, 0.00751183, -0.0061449, -0.0051028, -0.00280295, -0.00390116, -0.01688632, -0.00521383, -0.00887973, -0.00722259, -0.0090066, -0.01134427, 0.00236318, 0.00025718, 
13.40, -0.0023977, -0.00107866, -0.00063348, 0.00468367, -0.00554239, -0.00012704, -0.0031373, -0.00642403, -0.01508173, -0.00617691, -0.00661126, -0.01273103, -0.00216079, -0.00932927, -0.00154773, -0.00061562, 
