time,raw_signal,step_time,step_type,step_number
677.8,-0.04584002,899.999011230469,Baseline,1
681.2,-0.04768063,899.999011230469,Baseline,1
686.8,-0.04568558,899.999011230469,Baseline,1
689.2,-0.05003226,899.999011230469,Baseline,1
689.6,-0.04894274,899.999011230469,Baseline,1
693.2,-0.05008067,899.999011230469,Baseline,1
694.8,-0.04839269,899.999011230469,Baseline,1
695,-0.0462325,899.999011230469,Baseline,1
695.8,-0.05084383,899.999011230469,Baseline,1
697,-0.04782982,899.999011230469,Baseline,1
698.6,-0.04903632,899.999011230469,Baseline,1
700.2,-0.04950288,899.999011230469,Baseline,1
701.2,-0.04745309,899.999011230469,Baseline,1
701.6,-0.04882259,899.999011230469,Baseline,1
703,-0.04848573,899.999011230469,Baseline,1
703.2,-0.05009479,899.999011230469,Baseline,1
704.8,-0.05206859,899.999011230469,Baseline,1
706,-0.04717696,899.999011230469,Baseline,1
707.2,-0.0498265,899.999011230469,Baseline,1
708.2,-0.04957761,899.999011230469,Baseline,1
709,-0.05070728,899.999011230469,Baseline,1
710.2,-0.04787217,899.999011230469,Baseline,1
713.4,-0.04638013,899.999011230469,Baseline,1
713.8,-0.04808551,899.999011230469,Baseline,1
714.8,-0.04574265,899.999011230469,Baseline,1
717.4,-0.04795605,899.999011230469,Baseline,1
722.2,-0.04493532,899.999011230469,Baseline,1
722.4,-0.05353761,899.999011230469,Baseline,1
723,-0.04625593,899.999011230469,Baseline,1
725,-0.04758298,899.999011230469,Baseline,1
726.8,-0.04885569,899.999011230469,Baseline,1
732.6,-0.05478578,899.999011230469,Baseline,1
733.2,-0.04976416,899.999011230469,Baseline,1
733.6,-0.05042455,899.999011230469,Baseline,1
735.4,-0.04953933,899.999011230469,Baseline,1
737.2,-0.04915879,899.999011230469,Baseline,1
737.8,-0.04989943,899.999011230469,Baseline,1
738.2,-0.05073411,899.999011230469,Baseline,1
738.8,-0.04995972,899.999011230469,Baseline,1
740.4,-0.05113824,899.999011230469,Baseline,1
742.8,-0.05117543,899.999011230469,Baseline,1
743.4,-0.05176255,899.999011230469,Baseline,1
743.6,-0.04907412,899.999011230469,Baseline,1
746.8,-0.05137428,899.999011230469,Baseline,1
748.6,-0.04931131,899.999011230469,Baseline,1
750.8,-0.05082568,899.999011230469,Baseline,1
758.4,-0.05186855,899.999011230469,Baseline,1
759.4,-0.05248785,899.999011230469,Baseline,1
759.6,-0.05297958,899.999011230469,Baseline,1
762.6,-0.05370425,899.999011230469,Baseline,1
763,-0.05403633,899.999011230469,Baseline,1
765.2,-0.05356256,899.999011230469,Baseline,1
766.6,-0.05152063,899.999011230469,Baseline,1
767.2,-0.0516247,899.999011230469,Baseline,1
768.2,-0.05196069,899.999011230469,Baseline,1
769.8,-0.05098603,899.999011230469,Baseline,1
775.8,-0.05214042,899.999011230469,Baseline,1
776.2,-0.05398588,899.999011230469,Baseline,1
777,-0.05470388,899.999011230469,Baseline,1
777.4,-0.05453821,899.999011230469,Baseline,1
780.2,-0.05542667,899.999011230469,Baseline,1
786,-0.051122,899.999011230469,Baseline,1
787,-0.05527435,899.999011230469,Baseline,1
791,-0.05232059,899.999011230469,Baseline,1
793.4,-0.05223715,899.999011230469,Baseline,1
795.2,-0.05674998,899.999011230469,Baseline,1
795.4,-0.05645378,899.999011230469,Baseline,1
795.6,-0.05323947,899.999011230469,Baseline,1
796.4,-0.05333639,899.999011230469,Baseline,1
800.2,-0.05344381,899.999011230469,Baseline,1
801.8,-0.05179876,899.999011230469,Baseline,1
805,-0.05567407,899.999011230469,Baseline,1
807.6,-0.05722007,899.999011230469,Baseline,1
808.2,-0.05537628,899.999011230469,Baseline,1
809.2,-0.05503792,899.999011230469,Baseline,1
809.8,-0.05321129,899.999011230469,Baseline,1
810,-0.05465493,899.999011230469,Baseline,1
811,-0.052933,899.999011230469,Baseline,1
813,-0.05413947,899.999011230469,Baseline,1
815.2,-0.05733997,899.999011230469,Baseline,1
817.4,-0.05256115,899.999011230469,Baseline,1
818.8,-0.05725873,899.999011230469,Baseline,1
821.6,-0.05639645,899.999011230469,Baseline,1
